societe,secteur,annee,type_comptes_resolu,capitaux_propres,chiffre_affaires,dettes_financieres,ebit,ebitda,immobilisations_corporelles,impot_differe,resultat_avant_impot,resultat_financier,resultat_net,total_actif,total_dettes,tresorerie_equivalents,nombre_variables_prevalidees,societe_is,score_correspondance_nom,methode_correspondance_nom,is_mad,statut_perimetre_is,ecart_identite_fiscale,is_implicite_mad
Risma,Divers,2020,sociaux,1988781100.77,,1680388000.0,99000000.0,,,,122000000.0,-5000000.0,139989000.0,,1107075000.0,,7,Risma,1.0,nom normalisé,2103080.75,vérifié_par_impôt_du_pdf,,
Risma,Divers,2021,sociaux,1792813102.87,49399618.5,42000000.0,-146000000.0,,,,-183000000.0,-25000000.0,-185000000.0,3344000000.0,2044816000.0,,7,Risma,1.0,nom normalisé,2022651.4,vérifié_par_impôt_du_pdf,,
Risma,Divers,2022,sociaux,1918010145.65,49119972.31,,-99000000.0,,,,-122000000.0,-19000000.0,-124000000.0,2893000000.0,,,5,Risma,1.0,nom normalisé,3309452.32,vérifié_par_impôt_du_pdf,,
Risma,Divers,2023,sociaux,,,,,,1343000000.0,,,,,3444000000.0,2044816000.0,,3,Risma,1.0,nom normalisé,2310526.23,vérifié_par_impôt_du_pdf,,
Risma,Divers,2024,sociaux,1953136803.26,,977000000.0,,,1827129000.0,,73046000.0,-23991000000.0,8.74,3731872000.0,,,7,Risma,1.0,nom normalisé,2509443.0,vérifié_par_impôt_du_pdf,,
Risma,Divers,2025,sociaux,2181916204.92,,,,,1832871000.0,,,325912000000.0,16.29,3553360000000.0,,,5,Risma,1.0,nom normalisé,5921669.26,vérifié_par_impôt_du_pdf,,
S2M,"Matériels, logiciels et services informatiques",2024,sociaux,,308105627.93,,53649987.34,,18577840.15,,43957487.18,-1614516.49,33916967.18,219961244.35,,34202037.71,8,S2M,1.0,comparatif officiel du RFA 2025,10040520.0,vérifié_par_impôt_du_pdf,0.0,10040520.0
S2M,Télécommunications et nouvelles technologies,2025,sociaux,134023110.29,366496287.39,168546.12,56508758.03,,20139757.13,,43543851.94,16852591.88,34141644.2,297032298.41,163009188.12,,10,S2M,1.0,contrôle publication annuelle 2025,9402207.74,vérifié_par_impôt_du_pdf,5.587935447692871e-09,9402207.739999995
SALAFIN,Sociétés de financement,2007,sociaux,,,,,,27647000.0,,59137000.0,,84377000.0,,,,3,Salafin,1.0,nom normalisé,50739000.0,provisoire_un_seul_type_disponible,,
SALAFIN,Sociétés de financement,2008,sociaux,,,,,,26759000.0,,55057000.0,,101477000.0,,,,3,Salafin,1.0,nom normalisé,59137000.0,provisoire_un_seul_type_disponible,,
SALAFIN,Sociétés de financement,2009,sociaux,,,,,,24930000.0,,,,,,,,1,Salafin,1.0,nom normalisé,55057.0,provisoire_un_seul_type_disponible,,
SALAFIN,Sociétés de financement,2013,sociaux,,,,,,,,58448.0,,95097.0,,,,2,Salafin,1.0,nom normalisé,55340000.0,provisoire_un_seul_type_disponible,,
SALAFIN,Sociétés de financement,2014,sociaux,,,,,,,,,,105732.0,,,,1,Salafin,1.0,nom normalisé,58448000.0,provisoire_un_seul_type_disponible,,
